timestamp,speed,acceleration,braking_event,latitude,longitude,event_type,weather,time_of_day
2024-07-08 08:00:02,54,-0.16,0,12.971366,77.594505,normal,clear,afternoon
2024-07-08 08:00:04,37,0.41,0,12.971446,77.594837,normal,clear,afternoon
2024-07-08 08:00:09,62,-1.6,1,12.970967,77.594686,harsh_braking,clear,afternoon
2024-07-08 08:00:13,39,-0.25,0,12.97141,77.594325,normal,clear,afternoon
2024-07-08 08:00:14,45,0.44,0,12.971617,77.593877,normal,rainy,afternoon
2024-07-08 08:00:16,51,0.46,0,12.972028,77.593811,normal,clear,afternoon
2024-07-08 08:00:17,42,-0.24,0,12.972076,77.593429,normal,clear,afternoon
2024-07-08 08:00:18,32,-2.21,1,12.972368,77.593863,harsh_braking,clear,afternoon
2024-07-08 08:00:21,44,-1.07,1,12.972272,77.593693,harsh_braking,clear,afternoon
2024-07-08 08:00:25,75,1.33,0,12.972258,77.594117,speeding,clear,afternoon
2024-07-08 08:00:27,48,-0.14,0,12.9719,77.593838,normal,clear,afternoon
2024-07-08 08:00:31,35,0.22,0,12.972376,77.593576,normal,clear,afternoon
2024-07-08 08:00:36,62,1.02,0,12.972788,77.593432,speeding,clear,afternoon
2024-07-08 08:00:41,37,0.35,0,12.972326,77.59344,normal,clear,afternoon
2024-07-08 08:00:42,44,0.32,0,12.972543,77.593792,normal,clear,afternoon
2024-07-08 08:00:43,37,0.25,0,12.972449,77.593874,normal,rainy,afternoon
2024-07-08 08:00:48,47,0.03,0,12.972947,77.594061,normal,clear,afternoon
2024-07-08 08:00:51,38,-1.79,1,12.972593,77.594325,harsh_braking,clear,afternoon
2024-07-08 08:00:53,41,0.31,0,12.972249,77.594508,normal,clear,afternoon
2024-07-08 08:00:58,42,0.3,0,12.972073,77.594684,normal,clear,afternoon
2024-07-08 08:01:01,45,0.32,0,12.97178,77.594638,normal,rainy,afternoon
2024-07-08 08:01:06,35,0.38,0,12.972096,77.594741,normal,rainy,afternoon
2024-07-08 08:01:11,49,0.49,0,12.972186,77.594402,normal,clear,afternoon
2024-07-08 08:01:12,38,0.49,0,12.97185,77.594629,normal,rainy,afternoon
2024-07-08 08:01:15,52,0.02,0,12.97151,77.594565,normal,rainy,afternoon
2024-07-08 08:01:16,77,0.7,0,12.971832,77.594199,speeding,clear,afternoon
2024-07-08 08:01:19,40,-0.24,0,12.971665,77.594675,normal,clear,afternoon
